Goals,Shots,XG,Minutes Played,Home Team,Away Team,Home Goals,Away Goals,Date,Season,XA,Assists,Key Passes,NPG,NPXG,XGChain,XGBuildup
1,5,0.76,76,Real Madrid,Levante,6,0,2022-05-12,2021,1.45,1,4,1,0.76,2.15,0.41
1,1,0.51,26,Real Madrid,Espanyol,4,0,2022-04-30,2021,0.0,0,0,1,0.51,0.79,0.28
0,5,1.69,90,Osasuna,Real Madrid,1,3,2022-04-20,2021,0.68,0,4,0,0.21,0.99,0.88
1,7,0.92,90,Sevilla,Real Madrid,2,3,2022-04-17,2021,0.0,0,0,1,0.92,0.92,0.59
0,4,0.25,75,Real Madrid,Getafe,2,0,2022-04-09,2021,0.1,0,3,0,0.25,0.26,0.04
2,5,2.62,90,Celta Vigo,Real Madrid,1,2,2022-04-02,2021,0.14,0,2,0,0.39,0.55,0.02
2,3,1.06,90,Mallorca,Real Madrid,0,3,2022-03-14,2021,0.53,1,2,1,0.32,0.82,0.14
1,4,0.94,85,Real Madrid,Real Sociedad,4,1,2022-03-05,2021,0.18,1,3,0,0.2,0.89,0.62
1,4,1.17,90,Rayo Vallecano,Real Madrid,0,1,2022-02-26,2021,0.06,0,1,1,1.17,1.08,0.32
1,7,1.52,90,Real Madrid,Alaves,3,0,2022-02-19,2021,0.58,2,2,0,0.78,1.7,1.03
0,5,1.11,62,Real Madrid,Elche,2,2,2022-01-23,2021,0.92,0,2,0,0.37,1.29,0.34
2,4,0.98,90,Real Madrid,Valencia,4,1,2022-01-08,2021,0.71,0,2,1,0.24,1.57,0.62
0,3,0.15,90,Getafe,Real Madrid,1,0,2022-01-02,2021,0.0,0,0,0,0.15,0.32,0.27
2,2,0.56,90,Athletic Club,Real Madrid,1,2,2021-12-22,2021,0.1,0,1,2,0.56,0.68,0.12
0,5,0.81,90,Real Madrid,Cadiz,0,0,2021-12-19,2021,0.44,0,5,0,0.81,1.18,0.59
1,1,0.07,48,Real Madrid,Atletico Madrid,2,0,2021-12-12,2021,0.0,0,0,1,0.07,0.16,0.09
0,0,0.0,16,Real Sociedad,Real Madrid,0,2,2021-12-04,2021,0.03,0,1,0,0.0,0.03,0.03
1,4,1.22,90,Real Madrid,Athletic Club,1,0,2021-12-01,2021,0.04,0,2,1,1.22,1.35,0.1
1,2,0.71,90,Real Madrid,Sevilla,2,1,2021-11-28,2021,0.03,0,1,1,0.71,0.81,0.1
0,4,0.38,81,Granada,Real Madrid,1,4,2021-11-21,2021,0.54,0,3,0,0.38,1.75,1.16
1,6,1.27,84,Real Madrid,Rayo Vallecano,2,1,2021-11-06,2021,0.06,0,1,1,1.27,1.41,0.17
0,5,0.29,90,Real Madrid,Osasuna,0,0,2021-10-27,2021,0.02,0,1,0,0.29,0.3,0.12
0,1,0.33,90,Barcelona,Real Madrid,1,2,2021-10-24,2021,0.23,0,2,0,0.33,0.6,0.13
1,8,1.04,90,Espanyol,Real Madrid,2,1,2021-10-03,2021,0.1,0,4,1,1.04,1.02,0.01
0,3,0.08,90,Real Madrid,Villarreal,0,0,2021-09-25,2021,0.0,0,0,0,0.08,0.14,0.06
2,4,0.32,81,Real Madrid,Mallorca,6,1,2021-09-22,2021,0.8,2,5,2,0.32,1.31,0.64
1,5,0.8,90,Valencia,Real Madrid,1,2,2021-09-19,2021,0.04,1,1,1,0.8,0.99,0.15
3,5,1.41,90,Real Madrid,Celta Vigo,5,2,2021-09-12,2021,0.64,1,4,2,0.67,1.26,0.17
0,2,0.1,90,Real Betis,Real Madrid,0,1,2021-08-28,2021,0.16,1,3,0,0.1,0.27,0.07
0,1,0.08,90,Levante,Real Madrid,3,3,2021-08-22,2021,0.39,2,2,0,0.08,0.49,0.06
2,6,0.58,90,Alaves,Real Madrid,1,4,2021-08-14,2021,0.0,0,0,2,0.58,0.74,0.16
1,5,0.46,90,Real Madrid,Villarreal,2,1,2021-05-22,2020,0.1,1,2,1,0.46,0.59,0.07
0,2,0.1,90,Athletic Club,Real Madrid,0,1,2021-05-16,2020,0.0,0,0,0,0.1,0.21,0.15
1,4,0.4,79,Granada,Real Madrid,1,4,2021-05-13,2020,0.19,0,2,1,0.4,0.74,0.2
0,1,0.04,90,Real Madrid,Sevilla,2,2,2021-05-09,2020,0.12,0,3,0,0.04,0.29,0.2
0,4,0.24,90,Real Madrid,Osasuna,2,0,2021-05-01,2020,0.38,1,1,0,0.24,0.57,0.0
0,2,0.09,90,Real Madrid,Real Betis,0,0,2021-04-24,2020,0.17,0,2,0,0.09,0.34,0.19
2,4,1.52,76,Cadiz,Real Madrid,0,3,2021-04-21,2020,1.09,1,2,1,0.78,1.84,0.06
0,0,0.0,23,Getafe,Real Madrid,0,0,2021-04-18,2020,0.0,0,0,0,0.0,0.0,0.0
1,3,0.21,74,Real Madrid,Barcelona,2,1,2021-04-10,2020,0.07,0,1,1,0.21,0.3,0.16
1,5,0.96,81,Real Madrid,Eibar,2,0,2021-04-03,2020,0.08,0,3,1,0.96,1.1,0.12
2,6,0.7,90,Celta Vigo,Real Madrid,1,3,2021-03-20,2020,1.6,1,2,2,0.7,2.25,0.1
2,5,1.14,90,Real Madrid,Elche,2,1,2021-03-13,2020,0.11,0,2,2,1.14,0.83,0.11
1,8,1.81,90,Atletico Madrid,Real Madrid,1,1,2021-03-07,2020,0.02,0,1,1,1.81,1.82,0.57
1,5,0.44,80,Real Madrid,Valencia,2,0,2021-02-14,2020,0.0,0,0,1,0.44,0.53,0.22
1,6,0.56,90,Real Madrid,Getafe,2,0,2021-02-09,2020,0.0,0,0,1,0.56,0.95,0.56
0,6,1.08,90,SD Huesca,Real Madrid,1,2,2021-02-06,2020,0.0,0,0,0,1.08,0.94,0.0
0,2,0.66,83,Real Madrid,Levante,1,2,2021-01-30,2020,0.0,0,0,0,0.66,1.16,0.5
2,4,0.87,90,Alaves,Real Madrid,1,4,2021-01-23,2020,0.0,0,0,2,0.87,0.9,0.03
0,1,0.03,90,Osasuna,Real Madrid,0,0,2021-01-09,2020,0.05,0,1,0,0.03,0.16,0.09
0,2,0.19,90,Real Madrid,Celta Vigo,2,0,2021-01-02,2020,0.02,0,1,0,0.19,0.34,0.14
0,1,0.06,90,Elche,Real Madrid,1,1,2020-12-30,2020,0.04,0,1,0,0.06,0.32,0.22
